Id,Id Provincia,Distrito,Zona sismica,Latitud,Longitud
812,78,VILLA KINTIARINA ,2,-12.910516,-73.4779876
813,78,VILLA VIRGEN ,2,-13.0023279,-73.5127661
814,78,INKAWASI ,2,-13.2868343,-73.2084105
815,78,KUMPIRUSHIATO ,2,-12.6170006,-73.1049823
816,78,CIELO PUNCO ,2,-12.7984591,-73.5525151
817,78,MANITEA ,2,-12.7299673,-73.5863594
818,78,UNIÓN ASHANINKA ,2,0.0,0.0
819,79,CAPACMARCA ,2,-14.0071868,-72.0028173
820,79,CHAMACA ,2,-14.3023791,-71.8525723
821,79,COLQUEMARCA ,2,-14.2846792,-72.0407386
822,79,LIVITACA ,2,-14.3125299,-71.6895185
823,79,LLUSCO ,3,-14.337199,-72.11399
824,79,QUIÑOTA ,3,-14.3114158,-72.1383145
825,79,SANTO TOMÁS ,3,-14.4500414,-72.081998
826,79,VELILLE ,3,-14.5101172,-71.8846039
827,80,CONDOROMA ,3,-15.3004476,-71.1380196
828,80,COPORAQUE ,3,-14.8007408,-71.5317853
829,80,ESPINAR ,3,-14.8105832,-71.2832861
830,80,OCORURO ,3,-15.0523951,-71.1290281
831,80,PALLPATA ,3,-14.9441364,-71.0799121
832,80,PICHIGUA ,3,-14.6777982,-71.4063142
833,80,SUYCKUTAMBO ,3,-15.0083849,-71.6447949
834,80,ALTO PICHIGUA ,3,-14.7375545,-71.2167206
835,81,ANCO ,2,-12.643635,-74.5724185
836,81,CHINCHIHUASI ,2,-12.5185266,-74.5477628
837,81,CHURCAMPA ,2,-12.5737973,-74.4781851
838,81,COSME ,2,-12.5805742,-74.6475506
839,81,EL CARMEN ,2,-12.7014725,-74.4949864
840,81,LA MERCED ,2,-12.7882357,-74.3589274
841,81,LOCROJA ,2,-12.7402997,-74.4417478
842,81,PACHAMARCA ,2,-12.5154459,-74.5263483
843,81,PAUCARBAMBA ,2,-12.5540738,-74.5319669
844,81,SAN  MIGUEL  DE ,2,-12.6600122,-75.3515811
845,81,MAYOCC ,2,-12.80555,-74.3899085
846,81,SAN PEDRO DE CORIS ,2,-12.5781896,-74.411711
847,82,ACOBAMBA ,2,-12.7925429,-74.5882951
848,82,ANDABAMBA ,2,-12.6937656,-74.6237846
849,82,ANTA ,2,-12.8121624,-74.6385209
850,82,CAJA ,2,-12.9155215,-74.4661521
851,82,MARCAS ,2,-12.8901711,-74.3979132
852,82,PAUCARA ,2,-12.7270517,-74.7150305
853,82,POMACOCHA ,2,-12.8741295,-74.5316587
854,82,ROSARIO ,2,-12.7211475,-74.5824988
855,83,COLCABAMBA ,2,-12.4105449,-74.6798252
