Id,Id Provincia,Distrito,Zona sismica
732,69,URUBAMBA ,2
733,69,YUCAY ,2
734,70,CAICAY ,2
735,70,CHALLABAMBA ,2
736,70,COLQUEPATA ,2
737,70,HUANCARANI ,2
738,70,KOSÑIPATA ,2
739,70,PAUCARTAMBO ,2
740,71,ANCAHUASI ,2
741,71,ANTA ,2
742,71,CACHIMAYO ,2
743,71,CHINCHAYPUJIO ,2
744,71,HUAROCONDO ,2
745,71,LIMATAMBO ,2
746,71,MOLLEPATA ,2
747,71,PUCYURA ,2
748,71,ZURITE ,2
749,72,ANDAHUAYLILLAS ,2
750,72,CAMANTI ,2
751,72,CCARHUAYO ,2
752,72,CCATCA ,2
753,72,CUSIPATA ,2
754,72,HUARO ,2
755,72,LUCRE ,2
756,72,MARCAPATA ,2
757,72,OCONGATE ,2
758,72,OROPESA ,2
759,72,QUIQUIJANA ,2
760,72,URCOS ,2
761,73,ACCHA ,2
762,73,CCAPI ,2
763,73,COLCHA ,2
764,73,HUANOQUITE ,2
765,73,OMACHA ,2
766,73,PACCARITAMBO ,2
767,73,PARURO ,2
768,73,PILLPINTO ,2
769,73,YAURISQUE ,2
770,74,SICUANI ,2
771,74,COMBAPATA ,2
772,74,MARANGANI ,2
773,74,PITUMARCA ,2
774,74,SAN PABLO ,2
775,74,SAN PEDRO ,2
776,74,CHECACUPE ,2
777,74,TINTA ,2
778,75,CHECCA ,2
779,75,KUNTURKANKI ,2
780,75,LANGUI ,2
781,75,LAYO ,2
782,75,PAMPAMARCA ,2
783,75,QUEHUE ,2
784,75,TÚPAC AMARU ,2
785,75,YANAOCA ,2
786,76,ACOMAYO ,2
787,76,ACOPIA ,2
788,76,ACOS ,2
789,76,MOSOC LLACTA ,2
790,76,POMACANCHI ,2
791,76,RONDOCÁN ,2
792,76,SANGARARA ,2
793,77,CCORCA ,2
794,77,CUSCO ,2
795,77,POROY ,2
796,77,SAN JERÓNIMO ,2
797,77,SAN SEBASTIÁN ,2
798,77,SANTIAGO ,2
799,77,SAYLLA ,2
800,77,WANCHAQ ,2
801,78,ECHARATE ,2
802,78,HUAYOPATA ,2
803,78,MARANURA ,2
804,78,OCOBAMBA ,2
805,78,PICHARI ,2
806,78,QUELLOUNO ,2
807,78,KIMBIRI ,2
808,78,SANTA ANA ,2
809,78,SANTA TERESA ,2
810,78,VILCABAMBA ,2
811,78,MEGANTONI ,2
812,78,VILLA KINTIARINA ,2
813,78,VILLA VIRGEN ,2
814,78,INKAWASI ,2
815,78,KUMPIRUSHIATO ,2
816,78,CIELO PUNCO ,2
817,78,MANITEA ,2
818,78,UNIÓN ASHANINKA ,2
819,79,CAPACMARCA ,2
820,79,CHAMACA ,2
821,79,COLQUEMARCA ,2
822,79,LIVITACA ,2
823,79,LLUSCO ,3
824,79,QUIÑOTA ,3
